X,Y,OBJECTID,ROWID_,DAY_OF_WEEK,HOLIDAY,WEEK_OF_YEAR,MONTH_OF_YEAR,ISSUE_TIME,VIOLATION_CODE,VIOLATION_DESCRIPTION,LOCATION,RP_PLATE_STATE,BODY_STYLE,ADDRESS_ID,STREETSEGID,XCOORD,YCOORD,TICKET_ISSUE_DATE
-77.050335507300005,38.9015887073,1840136,,,,,,,P012,DISOBEYING OFFICIAL SIGN,900 23RD ST NW,VA,,242349,6464,395634,137082,2017-09-07T07:25:00.000Z
-77.012164459600001,38.899590054199997,1839950,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,700 1ST ST NW,MD,,801029,869,398945,136859,2017-09-01T18:39:00.000Z
-76.9956298643,38.952802733200002,1840006,,,,,,,P039,PARK AT EXPIRED METER,550 GALLOWAY ST NE,VA,,810847,9296,400379,142766,2017-09-05T14:44:00.000Z
-76.9956298643,38.952802733200002,1840007,,,,,,,P039,PARK AT EXPIRED METER,550 GALLOWAY ST NE,MD,,810847,9296,400379,142766,2017-09-05T14:46:00.000Z
-76.9956298643,38.952802733200002,1840008,,,,,,,P039,PARK AT EXPIRED METER,550 GALLOWAY ST NE,DC,,810847,9296,400379,142766,2017-09-05T14:47:00.000Z
-76.9956298643,38.952802733200002,1840009,,,,,,,P039,PARK AT EXPIRED METER,550 GALLOWAY ST NE,MD,,810847,9296,400379,142766,2017-09-05T14:51:00.000Z
-76.9956298643,38.952802733200002,1840010,,,,,,,P039,PARK AT EXPIRED METER,550 GALLOWAY ST NE,MD,,810847,9296,400379,142766,2017-09-05T14:52:00.000Z
-76.9956298643,38.952802733200002,1840011,,,,,,,P039,PARK AT EXPIRED METER,550 GALLOWAY ST NE,NC,,810847,9296,400379,142766,2017-09-05T14:54:00.000Z
-77.033032288800001,38.928619889700002,1839707,,,,,,,P007,PARK IN A BUS ZONE,3030 14TH ST NW,MD,,294815,5540,397136,140082,2017-09-11T13:14:00.000Z
-77.023941260300006,38.884850535799998,1839810,,,,,,,P055,NO PARKING ANYTIME,900 D ST SW,DC,,803024,2728,397923,135223,2017-09-05T11:41:00.000Z
-77.0331651475,38.916719856599997,1839811,,,,,,,P002,STAND OR PARK IN ALLEY,1428 U ST NW,CO,,279162,2331,397124,138761,2017-09-08T09:24:00.000Z
-77.031959846099994,38.9031356088,1839846,,,,,,,P159,NO STOPPING OR STANDING IN AM RUSH HOUR ZONE,1000 14TH ST NW,MD,,804807,4141,397228,137253,2017-09-11T08:44:00.000Z
